"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2017","93.81","93.64","93.90","93.56","16.03K","0.25"
"Oct 20, 2017","93.58","93.05","93.67","93.00","27.27K","0.49"
"Oct 19, 2017","93.12","93.29","93.42","92.91","18.56K","-0.12"
"Oct 18, 2017","93.23","93.34","93.66","93.22","15.59K","-0.13"
"Oct 17, 2017","93.35","93.14","93.59","93.14","16.91K","0.20"
"Oct 16, 2017","93.16","92.97","93.21","92.93","15.65K","0.24"
"Oct 13, 2017","92.94","92.93","93.09","92.59","21.58K","0.04"
"Oct 12, 2017","92.90","92.75","93.06","92.64","17.44K","0.08"
"Oct 11, 2017","92.83","93.06","93.19","92.72","20.79K","-0.29"
"Oct 10, 2017","93.10","93.56","93.57","92.95","26.87K","-0.43"
"Oct 09, 2017","93.50","93.62","93.67","93.45","12.44K","-0.15"
"Oct 06, 2017","93.64","93.75","94.10","93.60","27.38K","-0.17"
"Oct 05, 2017","93.80","93.36","93.83","93.25","18.20K","0.56"
"Oct 04, 2017","93.28","93.42","93.42","93.08","17.76K","-0.14"
"Oct 03, 2017","93.41","93.49","93.78","93.28","17.65K","0.00"
"Oct 02, 2017","93.41","92.97","93.67","92.94","22.43K","0.57"
"Sep 29, 2017","92.88","93.00","93.11","92.81","21.91K","-0.05"
"Sep 28, 2017","92.93","93.26","93.50","92.92","24.78K","-0.26"
"Sep 27, 2017","93.17","92.89","93.42","92.81","32.50K","0.42"
"Sep 26, 2017","92.78","92.42","93.11","92.34","32.79K","0.37"
"Sep 25, 2017","92.44","92.12","92.53","92.00","26.58K","0.51"
"Sep 22, 2017","91.97","91.94","92.00","91.58","24.07K","-0.09"
"Sep 21, 2017","92.05","92.40","92.46","91.89","22.40K","-0.27"
"Sep 20, 2017","92.30","91.62","92.50","91.22","37.39K","0.81"
"Sep 19, 2017","91.56","91.77","91.84","91.52","24.29K","-0.32"
"Sep 18, 2017","91.85","91.86","92.02","91.80","1.39K","-0.01"
"Sep 15, 2017","91.86","92.00","92.16","91.58","10.88K","-0.27"
"Sep 14, 2017","92.11","92.39","92.66","92.03","26.59K","-0.43"
"Sep 13, 2017","92.51","91.88","92.52","91.69","50.27K","0.71"
"Sep 12, 2017","91.86","91.89","92.06","91.75","31.52K","0.01"
"Sep 11, 2017","91.85","91.39","91.97","91.39","36.43K","0.57"
"Sep 08, 2017","91.33","91.44","91.49","90.99","36.10K","-0.34"
"Sep 07, 2017","91.64","92.18","92.23","91.38","58.70K","-0.66"
"Sep 06, 2017","92.25","92.20","92.33","91.94","28.04K","0.02"
"Sep 05, 2017","92.23","92.61","92.69","92.14","27.65K","-0.58"
"Sep 04, 2017","92.77","92.67","92.67","92.41","10.72K","0.00"
"Sep 01, 2017","92.77","92.60","92.91","92.05","44.56K","0.15"
"Aug 31, 2017","92.63","92.86","93.31","92.56","38.28K","-0.20"
"Aug 30, 2017","92.82","92.30","92.89","92.19","29.84K","0.69"
"Aug 29, 2017","92.18","92.19","92.41","91.55","51.87K","0.04"
"Aug 28, 2017","92.14","92.35","92.48","92.11","19.55K","-0.58"
"Aug 25, 2017","92.68","93.22","93.37","92.34","44.54K","-0.56"
"Aug 24, 2017","93.20","93.09","93.31","93.08","10.74K","0.14"
"Aug 23, 2017","93.07","93.44","93.56","93.04","18.70K","-0.42"
"Aug 22, 2017","93.46","93.03","93.49","92.98","19.61K","0.48"
"Aug 21, 2017","93.01","93.36","93.50","92.92","18.58K","-0.37"
"Aug 18, 2017","93.36","93.65","93.69","93.25","23.75K","-0.18"
"Aug 17, 2017","93.53","93.38","94.00","93.21","40.45K","0.10"
"Aug 16, 2017","93.44","93.73","94.06","93.38","35.15K","-0.34"
